"","x"
"1960",416.737
"1961",427.065
"1962",458.432
"1963",484.085
"1964",521.459
"1965",571.46
"1966",622.769
"1967",648.959
"1968",713.873
"1969",776.967
"1970",816.917
"1971",896.626
"1972",996.633
"1973",1119.547
"1974",1210.318
"1975",1288.496
"1976",1474.04
"1977",1673.149
"1978",1903.406
"1979",2130
"1980",2286.606
"1981",2572.013
"1982",2656.424
"1983",2926.761
"1984",3319.643
"1985",3550.472
"1986",3746.903
"1987",3980.5
"1988",4279.67
"1989",4588.37
"1990",4814.129
"1991",4898.506
"1992",5222.659
"1993",5571.832
"1994",5991.248
"1995",6302.794
"1996",6698.899
"1997",7159.361
"1998",7636.78
"1999",8183.794
"2000",8818.153
"2001",9023.046
"2002",9298.061
"2003",9782.91
"2004",10526.167
"2005",11313.127
"2006",11988.143
"2007",12383.46
"2008",12445.052
"2009",11721.662
"2010",12293.427
"2011",12920.845
"2012",13555.231
"2013",14050.16
"2014",14718.763
