"","code","description","unit","mult","freq","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"1","FA795000995.A","Domestic financial sectors; net lending (+) or borrowing (-) (capital account) (IMA)","Currency","1000000","203","2774.0","2933.0","3205.0","2498.0","1892.0","2677.0","3240.0","2897.0","2684.0","2651.0","3012.0","3897.0","5313.0","4529.0","2762.0","2399.0","4495.0","8466.0","9304.0","3916.0","-5589.0","-15892.0","-20659.0","-13806.0","-28676.0","-29257.0","-28930.0","-29232.0","-24846.0","-33874.0","-22571.0","8467.0","2595.0","-12548.0","-21063.0","-12284.0","-27981.0","-22753.0","-66750.0","-57929.0","-80808.0","-4199.0","67482.0","78904.0","47074.0","14332.0","28780.0","-94614.0","-91178.0","304384.0","263827.0","183251.0","107386.0","-29679.0","39868.0","0"
"2","FA104123005.A","Nonfinancial corporate business; loans; liability","Currency","1000000","203","5070.0","2674.0","6343.0","7204.0","9756.0","15692.0","13772.0","6261.0","17461.0","19728.0","20415.0","10953.0","25790.0","63505.0","30612.0","-9106.0","17645.0","42982.0","48384.0","50114.0","29618.0","72440.0","66872.0","59823.0","116793.0","63961.0","119858.0","86186.0","109219.0","71546.0","74495.0","-113499.0","-64513.0","-65660.0","71035.0","105302.0","71993.0","133859.0","141543.0","124220.0","157932.0","-62461.0","-17225.0","-42693.0","147492.0","266937.0","232185.0","453246.0","87511.0","-523610.0","-288395.0","131875.0","-47511.0","121122.0","191197.0","64981.0"
"3","FA104090005.A","Nonfinancial corporate business; total financial assets","Currency","1000000","203","2847.0","13370.0","11972.0","15354.0","14545.0","27401.0","14366.0","17772.0","33094.0","34241.0","21439.0","41546.0","68447.0","78148.0","50596.0","26532.0","67143.0","114440.0","130937.0","159504.0","127310.0","210854.0","88070.0","141857.0","277479.0","213002.0","131426.0","228794.0","350328.0","181265.0","124490.0","83018.0","145702.0","332702.0","273623.0","424730.0","449533.0","264986.0","568431.0","965523.0","1203879.0","175650.0","138648.0","86113.0","779053.0","944481.0","700135.0","1072778.0","-608829.0","299760.0","632727.0","496775.0","506332.0","989500.0","809772.0","936510.0"
"4","FA105000905.A","Nonfinancial corporate business; net lending (+) or borrowing (-) (capital account), includes statistical discrepancy","Currency","1000000","203","750.0","2766.0","3650.0","6272.0","5715.0","1831.0","-6935.0","-3356.0","-6264.0","-14564.0","-13856.0","-6027.0","-5822.0","-18558.0","-39122.0","17873.0","-2054.0","-6078.0","-21653.0","-33998.0","-43109.0","-53707.0","5339.0","10383.0","-39451.0","3444.0","-17265.0","-147.0","10877.0","-34673.0","-43012.0","1467.0","-11193.0","-17496.0","-25249.0","-30407.0","-4755.0","-64663.0","-127381.0","-141991.0","-241217.0","-86266.0","61232.0","116283.0","110964.0","150243.0","30724.0","-26427.0","33811.0","417243.0","439270.0","391447.0","253033.0","334467.0","236198.0","0"
"5","FA364023005.A","General government; loans; asset","Currency","1000000","203","1188.0","1929.0","2234.0","1722.0","3012.0","3096.0","4083.0","4683.0","5310.0","4893.0","3809.0","3885.0","3236.0","5558.0","8821.0","15029.0","9188.0","10420.0","19912.0","25741.0","33395.0","31636.0","21442.0","16859.0","26985.0","27813.0","22474.0","834.0","-5523.0","3292.0","38890.0","13990.0","-11982.0","-31022.0","-3415.0","-21355.0","7739.0","15006.0","11639.0","8795.0","6780.0","3039.0","2683.0","2484.0","17392.0","11276.0","22340.0","25759.0","34232.0","176596.0","145405.0","136510.0","140762.0","124140.0","121980.0","122947.0"
"6","FA794090005.A","Domestic financial sectors; total financial assets ","Currency","1000000","203","55743.0","66687.0","75776.0","81141.0","91349.0","101002.0","96390.0","129915.0","138448.0","138215.0","163243.0","213026.0","267970.0","289681.0","241119.0","238680.0","331568.0","399159.0","492116.0","522432.0","558705.0","635914.0","608851.0","768165.0","914847.0","1108597.0","1316185.0","981011.0","1046315.0","983863.0","752778.0","906340.0","1097049.0","1460528.0","1250733.0","1711402.0","1806812.0","2324823.0","2710866.0","2822019.0","2808143.0","3244924.0","2646529.0","3260751.0","3840443.0","3771490.0","4611605.0","5481454.0","3780417.0","-1229583.0","98870.0","2200562.0","1829358.0","3525191.0","3080569.0","1640505.0"
"7","FU367005045.A","General government; statistical discrepancy (IMA)","Currency","1000000","203","1670.0","2185.0","967.0","988.0","-437.0","-1431.0","-2199.0","-847.0","2512.0","4675.0","3024.0","3885.0","1719.0","-2230.0","5055.0","-1981.0","182.0","-1714.0","-2630.0","-4682.0","-10683.0","9344.0","14336.0","3053.0","-930.0","958.0","-2208.0","-16772.0","51145.0","10687.0","-36895.0","15200.0","5841.0","22541.0","-63359.0","-59966.0","-19982.0","-44594.0","-25934.0","-37009.0","-64358.0","-49680.0","-2203.0","69613.0","-39047.0","-138647.0","-91528.0","-77678.0","85513.0","-113229.0","-126912.0","16551.0","-43748.0","7269.0","-63287.0","-40988.0"
"8","FA264090005.A","Rest of the world; total financial assets","Currency","1000000","203","4347.0","3386.0","3610.0","3771.0","4246.0","3375.0","5082.0","8536.0","11154.0","17725.0","10017.0","26498.0","20384.0","13378.0","23539.0","8489.0","19925.0","48204.0","56759.0","33321.0","37283.0","48540.0","62302.0","61830.0","101267.0","113570.0","166668.0","175690.0","180238.0","147976.0","142371.0","61682.0","172720.0","272518.0","287594.0","342674.0","471135.0","504126.0","383290.0","579763.0","745112.0","606596.0","680526.0","780341.0","1227060.0","1048205.0","1479658.0","1470558.0","666846.0","201002.0","1087528.0","1049713.0","851163.0","1155816.0","1128223.0","452172.0"
"9","FA154123005.A","Households and nonprofit organizations; loans; liability","Currency","1000000","203","17546.0","18050.0","21851.0","28462.0","28989.0","28717.0","22190.0","34068.0","24142.0","28067.0","17857.0","44238.0","60040.0","63913.0","53278.0","56317.0","85700.0","126963.0","160514.0","161283.0","108381.0","95719.0","78377.0","169366.0","211416.0","300116.0","269290.0","247566.0","272463.0","272201.0","226817.0","196061.0","200363.0","261186.0","320139.0","322833.0","334513.0","336491.0","422069.0","538585.0","575855.0","613531.0","751353.0","1025162.0","1118691.0","1130040.0","1244580.0","925506.0","-24670.0","33822.0","-70799.0","-62891.0","273450.0","244825.0","423618.0","395757.0"
"10","FA154090005.A","Households and nonprofit organizations; total financial assets ","Currency","1000000","203","46286.0","46772.0","51518.0","59573.0","71509.0","75712.0","83912.0","93224.0","94810.0","99044.0","115859.0","140241.0","153129.0","189896.0","169891.0","198592.0","221044.0","254563.0","284867.0","299474.0","343482.0","388335.0","396244.0","462982.0","502842.0","534710.0","611007.0","507033.0","546499.0","470856.0","665278.0","518819.0","559805.0","597578.0","575668.0","603888.0","604455.0","526168.0","669615.0","573781.0","320932.0","544290.0","598986.0","1025532.0","1300573.0","875996.0","928616.0","1210422.0","1141286.0","682667.0","783507.0","1295749.0","1279303.0","1252790.0","1153087.0","1238814.0"
